anrede;vorname;nachname;strasse;nr;plz;ort;kanton;sprachregion;nationaliät;sexcode;mobile_nr;vertrag_nr;konto_nr;auth_device
Herr;Hans;Strähl;Lohren;3;6020;Emmenbrücke;LU;de;Schweiz;m;+41798793691;32335;CH5300772894037840345;mtan
Frau;Andrea;Müller;Rainacherstrasse;12;6012;Obernau;LU;de;Schweiz;w;+41797696322;20724;CH5300772095095969695;ptan
Herr;Markus;Obrist;Lischenstrasse;7;6030;Ebikon;LU;de;Schweiz;m;+41798116972;28046;CH5300772888690658660;mtan
Frau;Regula;Huber;Oberdorfstrasse;108;9100;Herisau;AR;de;Kosovo;w;+41798124070;25327;CH5300772543925466840;ptan
Herr;Manuel;Pittet;Route de Soral;25;1232;Confignon;GE;fr;Schweiz;m;+41797438285;21944;CH5300772260769278071;ptan
Frau;Susanne;Krasniqi;Schöneggstrasse;21;6048;Horw;LU;de;Schweiz;w;+41797384074;26289;CH5300772645726075105;ptan
Herr;Hans;Suter;Brändistrasse;1;6048;Horw;LU;de;Schweiz;m;+41798142948;39603;CH5300772710640610879;ptan
Herr;Peter;Dietrich;Herrendingen;2a;6274;Eschenbach LU;LU;de;Italien ;m;+41798997124;22771;CH5300772217571872459;mtan
Herr;Urs;Meyer;Böshüsliweg;2;6005;Luzern;LU;de;Schweiz;m;+41798188265;43455;CH5300772532894103399;ptan
Herr;Peter;Riederer;Feldhaus;5;6274;Eschenbach LU;LU;de;Italien ;m;+41797677557;38860;CH5300772853209957636;ptan
Frau;Ruth;Kropf;Erzgrubenweg;23;5000;Aarau;AG;de;Schweiz;w;+41797894096;44312;CH5300772263843071277;mtan
Herr;Thomas;Schmid;Ebnetstrasse;5;9100;Herisau;AR;de;Kosovo;m;+41797804371;46689;CH5300772740192940954;mtan
Herr;Thomas;Hediger;Lindershalde;3;6162;Rengg;LU;de;Deutschland;m;+41798307353;29137;CH5300772557427635963;ptan
Frau;Maria;Mani;Herzoggut;5;5000;Aarau;AG;de;Schweiz;w;+41797978470;36589;CH5300772459040317691;mtan
Herr;Andreas;Schneider;Obergumele;;6018;Buttisholz;LU;de;Schweiz;m;+41797808370;25311;CH5300772657653836316;ptan
Herr;Giorgio;Lavagno;Hübeli;;6207;Nottwil;LU;de;Deutschland;m;+41797958027;41513;CH5300772245234108200;ptan
Frau;Silvia;Hufschmid;Untergütschstrasse;8;6038;Honau;LU;de;Schweiz;w;+41797132065;38653;CH5300772558210413241;ptan
Herr;Peter;Müller;Mühlehofstrasse;26;6030;Ebikon;LU;de;Schweiz;m;+41798875904;31540;CH5300772183817873207;ptan
Herr;Antonio;Rossini;Via Giovanni Serodine;8d;6500;Bellinzona;TI;it;Italien;m;+41797774897;44499;CH5300772052724724233;mtan
Frau;Elena;Gretener;Linden;11;6147;Altbüron;LU;de;Deutschland;w;+41798666632;22383;CH5300772827587413687;ptan
Frau;Ursula;Kummer;Spitalstrasse;8;6004;Luzern;LU;de;Schweiz;w;+41797662295;37988;CH5300772184603181060;ptan
Herr;Stefano;Bircher;Knubelmatte;1;6154;Hofstatt;LU;de;Deutschland;m;+41797216150;41653;CH5300772110726462885;mtan
Herr;Nicolas;Grandjean;Ruelle de la Riveraine;6;1787;Môtier (Vully);FR;fr;Schweiz;m;+41798633999;22994;CH5300772535896990040;mtan
Herr;Hans;Sciolli;Rütistrasse;4;6233;Büron;LU;de;Italien ;m;+41797852493;44233;CH5300772048632868651;ptan
Herr;Thomas;Bürgin;Guetrütistrasse;22;6010;Kriens;LU;de;Schweiz;m;+41797498739;20134;CH5300772379393612647;mtan
Herr;Martin;Schmid;Vonmattstrasse;22;6003;Luzern;LU;de;Schweiz;m;+41798286754;45649;CH5300772027807564022;ptan
Herr;Stefan;Huber;Platz;853;9428;Walzenhausen;AR;de;Griechenland;m;+41797198780;29484;CH5300772926224137422;ptan
Frau;Ursula;Lengacher;Erlinsbacherstrasse;55;5000;Aarau;AG;de;Schweiz;w;+41798575609;40088;CH5300772241961805924;ptan
Frau;Elisabeth;Giovanoli;Steiacherstrasse;17;6289;Müswangen;LU;de;Italien ;w;+41798058995;23103;CH5300772295034348725;ptan
Herr;Thomas;Weiss;Neudorfstrasse;10;6027;Römerswil LU;LU;de;Schweiz;m;+41798765269;43697;CH5300772258632886106;mtan
Frau;Monika;Poltera;Hohenrainstrasse;44;6280;Hochdorf;LU;de;Italien ;w;+41798608420;41714;CH5300772635794154185;mtan
Frau;Nicole;Mandioni;Via Mastri;33c;6853;Ligornetto;TI;it;Schweiz;w;+41798806273;37199;CH5300772239805169619;ptan
Frau;Monika;Zimmermann;Schwendistrasse;15;9410;Heiden;AR;de;Bosnien;w;+41798565258;34145;CH5300772114187041944;ptan
Frau;Isabelle;Martin;Rue PRÉVOST-MARTIN;27;1205;Genève;GE;fr;Schweiz;w;+41797706631;27209;CH5300772088616814512;mtan
Frau;Nathalie;Qusaj;La Salette;166;1628;Vuadens;FR;fr;Frankreich;w;+41797923042;33796;CH5300772539752498627;mtan
Herr;Martin;Aebli;Badmatt;6;6260;Reiden;LU;de;Italien ;m;+41798684636;23058;CH5300772369894607831;ptan
Frau;Sandra;Zbinden;Amlehnhalde;29;6010;Kriens;LU;de;Schweiz;w;+41798327422;48711;CH5300772876570314722;mtan
Herr;Bruno;Meier;Kaspar-Kopp-Strasse;107;6030;Ebikon;LU;de;Schweiz;m;+41797623391;20557;CH5300772529505062787;ptan
Herr;Marco;Bernasconi;Bognau;5;6216;Mauensee;LU;de;Italien ;m;+41798194618;33977;CH5300772507263821642;ptan
Frau;Karin;Seiler;Gütschring;4;6038;Honau;LU;de;Schweiz;w;+41798074225;20191;CH5300772887952146977;ptan
Frau;Claudia;Leonardi;Dogelzwil;1;6208;Oberkirch LU;LU;de;Deutschland;w;+41798663576;32674;CH5300772596545387013;ptan
Frau;Andrea;Steiner;Mittelbissauweg;6;9410;Heiden;AR;de;Frankreich;w;+41797253097;41304;CH5300772895715570237;mtan
Herr;Daniel;Walther;Friedbergstrasse;7;6004;Luzern;LU;de;Schweiz;m;+41797427620;40313;CH5300772386255963637;ptan
Frau;Claudia;Schmid;Seestrasse;73;6354;Vitznau;LU;de;Italien ;w;+41797585169;27050;CH5300772378674450707;mtan
Herr;Hans;Schneider;Carl Böckli-Weg;4;9410;Heiden;AR;de;Bosnien;m;+41797163822;21990;CH5300772292596751735;ptan
Frau;Maria;Eggel;Belchenweg;19;5033;Buchs AG;AG;de;Schweiz;w;+41797348959;32645;CH5300772916652634891;ptan
Herr;Marco;Krasniqi;Birkenweg;3;6146;Grossdietwil;LU;de;Deutschland;m;+41798068007;22226;CH5300772883371084524;mtan
Herr;Hans;Schlatter;Gartenstrasse;19;9038;Rehetobel;AR;de;Italien ;m;+41798037138;25377;CH5300772086655933404;mtan
Herr;Daniel;Rieder;Amlehnstrasse;54;6010;Kriens;LU;de;Schweiz;m;+41797487075;44720;CH5300772446963493097;ptan
Herr;Martin;von Grünigen;Maienholz;13;5018;Erlinsbach;AG;de;Schweiz;m;+41798462985;48762;CH5300772187852183752;mtan
Herr;Martin;Inniger;Käfergrund;6;5000;Aarau;AG;de;Schweiz;m;+41798623662;36005;CH5300772594671945877;ptan
Frau;Marianne;Frizzoni;Hauptstrasse;12;6283;Baldegg;LU;de;Italien ;w;+41798103996;42155;CH5300772371967136452;ptan
Herr;Andreas;Pagani;Chottenrain;16;6210;Sursee;LU;de;Deutschland;m;+41797714451;29281;CH5300772661962863502;ptan
Herr;Philippe;Capt;Route de Vireloup;102;1239;Collex;GE;fr;Bosnien;m;+41798192777;28487;CH5300772674699334489;ptan
Frau;Claudia;Bachmann;Rüti;423;9063;Stein AR;AR;de;Albanien;w;+41798166570;35311;CH5300772953113396861;ptan
Herr;Martin;Dietrich;Hohlgasse;38;5000;Aarau;AG;de;Schweiz;m;+41797447520;44134;CH5300772754383336831;ptan
Frau;Maria;Meier;Auen;329;9064;Hundwil;AR;de;Albanien;w;+41798858478;32651;CH5300772387527984943;ptan
Herr;Daniel;Meili;Oberfeldweg;9;6280;Hochdorf;LU;de;Italien ;m;+41798143195;41353;CH5300772394921791107;mtan
Frau;Maria;Clerc;Route du Pafuet;15;1724;Le Mouret;FR;fr;Schweiz;w;+41798548459;27912;CH5300772553512685199;mtan
Frau;Ruth;Ernst;Rudolfstrasse;2;6023;Rothenburg;LU;de;Schweiz;w;+41798102203;30080;CH5300772940210148564;ptan
Herr;Patrick;Girardet;Avenue Beauregard;28;1700;Fribourg;FR;fr;Schweiz;m;+41797526580;20494;CH5300772701114586007;mtan
Herr;Paul;Müller;Unter-Rossrüti;;6132;Rohrmatt;LU;de;Deutschland;m;+41798203377;37933;CH5300772904242021031;ptan
Herr;Walter;Stähli;Rüchligweg;2;5000;Aarau;AG;de;Schweiz;m;+41797383386;48442;CH5300772322307301139;ptan
Herr;Peter;Huber;Högli;609;9427;Wolfhalden;AR;de;Spanien;m;+41797764267;38534;CH5300772246585226448;ptan
Herr;Peter;Zimmermann;Reussblickstrasse;28;6038;Gisikon;LU;de;Schweiz;m;+41797086024;31841;CH5300772690580367540;ptan
Herr;Christian;Cohen;Les Baumes;57;1583;Villarepos;FR;fr;Schweiz;m;+41798116426;43370;CH5300772263911561924;mtan
Herr;Thomas;Schönbächler;Sonnhalde;950;9428;Walzenhausen;AR;de;Kroatien;m;+41798755811;35503;CH5300772848018579489;ptan
Herr;Hans;Betschart;Heiligkreuz;1;6166;Hasle LU;LU;de;Deutschland;m;+41798085077;44609;CH5300772393826453946;mtan
Frau;Claudia;Galli;Huebe;7;6222;Gunzwil;LU;de;Italien ;w;+41797467984;20707;CH5300772779320014728;ptan
Frau;Maria;Müller;Wilgut;6;6162;Entlebuch;LU;de;Deutschland;w;+41797178760;45846;CH5300772205954489221;ptan
Herr;Francesco;Colombini;Rothornstrasse;41;6174;Sörenberg;LU;de;Deutschland;m;+41797597083;48131;CH5300772313434129496;mtan
Frau;Maria;Bissig;Staufmoos;;6170;Schüpfheim;LU;de;Deutschland;w;+41797655233;45604;CH5300772354060652473;mtan
Herr;Antonio;Da Silva;Berg;56;3185;Schmitten FR;FR;de;Schweiz;m;+41798304420;37932;CH5300772000315620003;ptan
Frau;Stefanie;Baumann;Hirtenhofstrasse;32;6005;Luzern;LU;de;Schweiz;w;+41797767168;39258;CH5300772013618589470;mtan
Herr;Hans;Lurati;Obertannberg;1;6214;Schenkon;LU;de;Italien ;m;+41798942349;49545;CH5300772522106429133;ptan
Herr;Antonio;Werlen;Zopfweg;9;5033;Buchs AG;AG;de;Schweiz;m;+41798027877;38030;CH5300772115782200445;ptan
Frau;Catherine;Pittet;Boulevard des Promenades;24;1227;Carouge GE;GE;fr;Schweiz;w;+41798957944;48027;CH5300772489226143287;ptan
Herr;Michael;Keller;Margeritenweg;6;6005;Luzern;LU;de;Schweiz;m;+41797843506;34685;CH5300772833755220281;ptan
Herr;Christian;Fischer;Vorderlenden;470;9035;Grub AR;AR;de;Italien ;m;+41798662260;29296;CH5300772994247137509;ptan
Herr;Andreas;Maurer;Flecken;40;6023;Rothenburg;LU;de;Schweiz;m;+41797714038;41880;CH5300772914993859569;ptan
Frau;Sandra;Picenoni;Ausserdorf;4;6289;Hämikon;LU;de;Italien ;w;+41798605801;41273;CH5300772947289216926;ptan
